comparison_id,query_id,query,token_index,surface,candidates_json,judgment,canonical_raw_lemma,canonical_search_term,notes
36d7865daa150c2d,title_book_purity,كتاب الطهارة,0,كتاب,"[{""label"": ""A"", ""lexical_identity"": ""كتاب"", ""production_search_term"": ""كتاب"", ""raw_lemmas"": [""كِتاب"", ""كِتَابٌ""], ""selection_status"": ""selected""}]",,,,
07bbd2077a3aaacc,title_book_purity,كتاب الطهارة,1,الطهارة,"[{""label"": ""A"", ""lexical_identity"": ""طهارة"", ""production_search_term"": ""طهاره"", ""raw_lemmas"": [""طَهارَة"", ""طَهَارَةٌ""], ""selection_status"": ""selected""}]",,,,
4155322982c5db77,phrase_seeking_knowledge,طلب العلم,0,طلب,"[{""label"": ""A"", ""lexical_identity"": ""طلب"", ""production_search_term"": ""طلب"", ""raw_lemmas"": [""طَلَب"", ""طَلَبَ""], ""selection_status"": ""selected""}]",,,,
84a3ae267f7ace5c,phrase_seeking_knowledge,طلب العلم,1,العلم,"[{""label"": ""A"", ""lexical_identity"": ""علم"", ""production_search_term"": ""علم"", ""raw_lemmas"": [""عِلْم"", ""عِلْمٌ""], ""selection_status"": ""selected""}]",,,,
b50408c0cf9e86d4,ambiguous_hadith_science,علم الحديث,0,علم,"[{""label"": ""A"", ""lexical_identity"": ""علم"", ""production_search_term"": ""علم"", ""raw_lemmas"": [""عَلِم"", ""عِلْم"", ""عِلْمٌ""], ""selection_status"": ""selected""}]",,,,
a01697ab6d55fcb0,ambiguous_hadith_science,علم الحديث,1,الحديث,"[{""label"": ""A"", ""lexical_identity"": ""حديث"", ""production_search_term"": ""حديث"", ""raw_lemmas"": [""حَدِيث"", ""حَدِيثٌ1""], ""selection_status"": ""selected""}]",,,,
e355c5e71843db51,forgive_past,استغفر الله,0,استغفر,"[{""label"": ""A"", ""lexical_identity"": ""استغفر"", ""production_search_term"": ""استغفر"", ""raw_lemmas"": [""اِسْتَغْفَرَ""], ""selection_status"": ""selected""}, {""label"": ""B"", ""lexical_identity"": ""ٱستغفر"", ""production_search_term"": ""استغفر"", ""raw_lemmas"": [""ٱِسْتَغْفَر""], ""selection_status"": ""selected""}]",,,,
d8b76071b1b3fb79,forgive_past,استغفر الله,1,الله,"[{""label"": ""A"", ""lexical_identity"": ""الله"", ""production_search_term"": ""الله"", ""raw_lemmas"": [""اللَّه"", ""اَللهُ""], ""selection_status"": ""selected""}]",,,,
297561c0f211be16,forgive_present,يستغفر الله,0,يستغفر,"[{""label"": ""A"", ""lexical_identity"": ""استغفر"", ""production_search_term"": ""استغفر"", ""raw_lemmas"": [""اِسْتَغْفَرَ""], ""selection_status"": ""selected""}, {""label"": ""B"", ""lexical_identity"": ""ٱستغفر"", ""production_search_term"": ""استغفر"", ""raw_lemmas"": [""ٱِسْتَغْفَر""], ""selection_status"": ""selected""}]",,,,
16e4436cc7e294aa,forgive_present,يستغفر الله,1,الله,"[{""label"": ""A"", ""lexical_identity"": ""الله"", ""production_search_term"": ""الله"", ""raw_lemmas"": [""اللَّه"", ""اَللهُ""], ""selection_status"": ""selected""}]",,,,
61cb8e0791ca9085,establish_prayer,إقامة الصلاة,0,إقامة,"[{""label"": ""A"", ""lexical_identity"": ""إقامة"", ""production_search_term"": ""اقامه"", ""raw_lemmas"": [""إِقامَة"", ""إِقَامَةٌ""], ""selection_status"": ""selected""}]",,,,
937e4ad3d164a551,establish_prayer,إقامة الصلاة,1,الصلاة,"[{""label"": ""A"", ""lexical_identity"": ""صلاة"", ""production_search_term"": ""صلاه"", ""raw_lemmas"": [""صَلاة"", ""صَلَاةٌ""], ""selection_status"": ""selected""}]",,,,
5883387ba82301b9,responsibility_imam,مسؤولية الإمام,0,مسؤولية,"[{""label"": ""A"", ""lexical_identity"": ""مسئولية"", ""production_search_term"": ""مسئوليه"", ""raw_lemmas"": [""مَسْئولِيَّةٌ""], ""selection_status"": ""selected""}, {""label"": ""B"", ""lexical_identity"": ""مسؤولية"", ""production_search_term"": ""مسؤوليه"", ""raw_lemmas"": [""مَسْؤُولِيَّة""], ""selection_status"": ""selected""}]",,,,
ba5aef449287feb0,responsibility_imam,مسؤولية الإمام,1,الإمام,"[{""label"": ""A"", ""lexical_identity"": ""إمام"", ""production_search_term"": ""امام"", ""raw_lemmas"": [""إِمام""], ""selection_status"": ""selected""}, {""label"": ""B"", ""lexical_identity"": ""أمام"", ""production_search_term"": ""امام"", ""raw_lemmas"": [""أَمام"", ""أَمَامَ""], ""selection_status"": ""selected""}]",,,,
eeae850aedc1b392,responsibilities_imam,مسؤوليات الإمام,0,مسؤوليات,"[{""label"": ""A"", ""lexical_identity"": ""مسئولية"", ""production_search_term"": ""مسئوليه"", ""raw_lemmas"": [""مَسْئولِيَّةٌ""], ""selection_status"": ""selected""}, {""label"": ""B"", ""lexical_identity"": ""مسؤولية"", ""production_search_term"": ""مسؤوليه"", ""raw_lemmas"": [""مَسْؤُولِيَّة""], ""selection_status"": ""selected""}]",,,,
