scope,transition,query_id,query,token_index,surface,gold_lemmas,gold_identity,mle_lemma,mle_identity,mle_source,mle_pos,bert_lemma,bert_identity,bert_source,bert_pos,notes
query,bert_regression,responsibility_imam,مسؤولية الإمام,1,الإمام,إِمام,إمام,إِمام,إمام,lex,noun,أَمام,أمام,spvar,noun,
query,bert_regression,responsibilities_imam,مسؤوليات الإمام,1,الإمام,إِمام,إمام,إِمام,إمام,lex,noun,أَمام,أمام,spvar,noun,
query,bert_regression,normalized_imam,مسؤولية الامام,1,الامام,إِمام,إمام,إِمام,إمام,spvar,noun,أَمام,أمام,spvar,noun,
query,bert_fix,good_deed_singular,حسنة,0,حسنة,حَسَنَة,حسنة,حَسَن,حسن,lex,noun,حَسَنَة,حسنة,lex,noun,
query,bert_fix,prod_three_father_unbeliever,قتل أبيه الكافر,1,أبيه,أَب | أَبٌ,أب,أَبِيه,أبيه,lex,noun_prop,أَب,أب,lex,noun,
query,bert_fix,prod_three_khawarij,هل الخوارج كفار,2,كفار,كافِر | كَافِرٌ,كافر,فَأْر,فأر,lex,noun,كافِر,كافر,lex,noun,
query,bert_fix,prod_three_if_only_knew,قولهم ليت شعري,2,شعري,شِعْر | شِعْرٌ,شعر,شِعْرِيّ,شعري,lex,adj,شِعْر,شعر,lex,noun,
context,bert_fix,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,14,وأصل,أَصْل,أصل,وَصَل,وصل,lex,verb,أَصْل,أصل,lex,noun,
context,bert_fix,candidate-final-diagnostic-full-20260718:single_knowledge:r1,يعي علم الطب علم البيطرة علم البيزرة علم النبات علم الحيوان علم الفلاحة علم المعادن علم الجواهر علم الكون والفساد,14,المعادن,مَعْدِن | مَعْدِنٌ,معدن,مَعادِن,معادن,lex,noun_prop,مَعْدِن,معدن,lex,noun,
context,bert_regression,candidate-final-diagnostic-full-20260718:single_water_plural:r0,من أشعة الشمس ودرجة الحرارة يكون أقوى وأسرع على المياه الضحلة منه على المياه العميقة ولذلك فإن زيادة الإشعاع وارتفاع,16,فإن,إِنَّ,إن,إِنَّ,إن,lex,verb_pseudo,أَنَّ,أن,spvar,conj_sub,
context,bert_fix,candidate-final-diagnostic-full-20260718:good_deed_singular:r1,لعمل به وفي الآخرة حسنة تيسير الحساب ودخول الحساب وقيل في الدنيا حسنة التوفيق والعصمة وفي الآخرة حسنة النجاة والرحمة,4,حسنة,حَسَنَة,حسنة,حَسَن,حسن,lex,noun,حَسَنَة,حسنة,lex,noun,
context,bert_fix,candidate-final-diagnostic-full-20260718:good_deed_singular:r1,لعمل به وفي الآخرة حسنة تيسير الحساب ودخول الحساب وقيل في الدنيا حسنة التوفيق والعصمة وفي الآخرة حسنة النجاة والرحمة,12,حسنة,حَسَنَة,حسنة,حَسَن,حسن,lex,noun,حَسَنَة,حسنة,lex,noun,
context,bert_fix,candidate-final-diagnostic-full-20260718:good_deed_singular:r1,لعمل به وفي الآخرة حسنة تيسير الحساب ودخول الحساب وقيل في الدنيا حسنة التوفيق والعصمة وفي الآخرة حسنة النجاة والرحمة,17,حسنة,حَسَنَة,حسنة,حَسَن,حسن,lex,noun,حَسَنَة,حسنة,lex,noun,
context,bert_fix,candidate-final-diagnostic-full-20260718:single_water_singular:r2,رج ماء الرجل أولًا الثاني أن يخرج ماء المرأة أولًا الثالث أن يخرج ماء الرجل أولًا ويكون أكثر الرابع أن,6,يخرج,خَرَج | خَرَجَ,خرج,أَخْرَج,أخرج,lex,verb,خَرَج,خرج,lex,verb,
context,bert_fix,candidate-final-diagnostic-full-20260718:single_water_singular:r2,رج ماء الرجل أولًا الثاني أن يخرج ماء المرأة أولًا الثالث أن يخرج ماء الرجل أولًا ويكون أكثر الرابع أن,12,يخرج,خَرَج | خَرَجَ,خرج,أَخْرَج,أخرج,lex,verb,خَرَج,خرج,lex,verb,
context,bert_fix,candidate-final-diagnostic-full-20260718:book_noun:r2,كتاب الدعوات كتاب الزكوة كتاب قسم الزكوات كتاب زكوة الفطر كتاب الأشربة كتاب حد الشارب كتاب الأضاحي كتاب العقيقة كتاب,8,زكوة,زَكاة | زَكَاةٌ,زكاة,زَكَّى,زكى,spvar,verb,زَكاة,زكاة,lex,noun,
context,bert_fix,candidate-final-diagnostic-full-20260718:phrase_seeking_knowledge:r0,وبِ طَلَبِ الْعِلْمِ وَقَوْل مُجَاهِدٍ وَقَتَادَةَ يَقْتَضِي نَدْبَ طَلَبِ الْعِلْمِ وَالْحَثَّ عَلَيْهِ دُونَ الْوُجُوبِ وَالإِْلْزَامِ وَإِنَّمَا لَزِمَ طَلَبُ الْعِلْمِ بِأَدِلَّتِهِ,7,نَدْبَ,نَدَب | نَدْبٌ,ندب,دَبّ,دب,lex,verb,نَدَب,ندب,lex,noun,
context,bert_fix,candidate-final-representative-full-20260718:prod_single_azlil:r1,وقال آخر تشكُو الوَجَي من أظلُلٍ وأظْلُلِ وقال آخر وهو يَلْوِي خَطْوَهُ مُفاحِجَا قَرْمًا تَرَاهُ بالهَديرِ عَاجِجَا وقال آخر وعامِرٌ,11,خَطْوَهُ,خَطْو | خَطْوٌ,خطو,خَطْوَة,خطوة,spvar,noun,خَطْو,خطو,lex,noun,
context,bert_fix,candidate-final-representative-full-20260718:prod_three_abu_muslim:r2,وَفِيهَا قَتَلَ أَبُو مُسْلِمٍ الْخُرَاسَانِيُّ جَبَلَةَ بْنَ أَبِي رَوَادٍ الْعَتَكِيَّ مَوْلَاهُمْ أَخَا عَبْدِ الْعَزِيزِ بْنِ دَاوُدَ وَيُكَنَّى أَبَا مَرْوَانَ,10,مَوْلَاهُمْ,مَوْلَى,مولى,مَوَّل,مول,lex,verb,مَوْلَى,مولى,lex,noun,
context,bert_fix,candidate-final-representative-full-20260718:prod_two_remembrance:r0,لسننا شكرا ذكر الله ذكر الله تضيق بي الدنيا فأفزغ للذكر وهل مثل ذكر الله أرحب للصدر وهل مثل ذكر,6,تضيق,ضاق,ضاق,ضَيَّق,ضيق,lex,verb,ضاق,ضاق,lex,verb,
context,bert_fix,candidate-final-representative-full-20260718:prod_two_remembrance:r0,لسننا شكرا ذكر الله ذكر الله تضيق بي الدنيا فأفزغ للذكر وهل مثل ذكر الله أرحب للصدر وهل مثل ذكر,7,بي,بِ | بِ2,ب,بِي,بي,lex,abbrev,بِ,ب,lex,prep,
context,bert_regression,candidate-final-representative-full-20260718:prod_two_remembrance:r1,وَلَذِكْرُ الله أَكْبَرُ لا شيءَ أفضل من ذكرِ الله وقالت أم الدرداء إن صليت فهو من ذكر الله وإن صمتَ,12,إن,إِن,إن,إِن,إن,lex,abbrev,أَنَّ,أن,spvar,conj_sub,
