comparison_id,query_id,query,token_index,surface,candidates_json,judgment,canonical_raw_lemma,canonical_search_term,notes
b1c779796090ec36,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,0,عاصم,"[{""label"": ""A"", ""lexical_identity"": ""عاصم"", ""production_search_term"": ""عاصم"", ""raw_lemmas"": [""عاصِم"", ""عَاصِمٌ""], ""selection_status"": ""selected""}]",A,,,
765b9b1d8d5e4b80,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,1,وَقَرْنَ,"[{""label"": ""A"", ""lexical_identity"": ""قرن"", ""production_search_term"": ""قرن"", ""raw_lemmas"": [""قَرْن"", ""قَرْنٌ""], ""selection_status"": ""selected""}]",ALL_WRONG,قَرَّ,قر,أمر لجمع المؤنث من قَرَّ
dee63f9f78ec4754,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,2,فِي,"[{""label"": ""A"", ""lexical_identity"": ""في"", ""production_search_term"": ""في"", ""raw_lemmas"": [""فِي"", ""فِي2""], ""selection_status"": ""selected""}]",A,,,
ad31d39dd9f4aa09,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,3,بُيُوتِكُنَّ,"[{""label"": ""A"", ""lexical_identity"": ""بيت"", ""production_search_term"": ""بيت"", ""raw_lemmas"": [""بَيْتٌ1""], ""selection_status"": ""selected""}, {""label"": ""B"", ""lexical_identity"": ""بيوت"", ""production_search_term"": ""بيوت"", ""raw_lemmas"": [""بَيُّوت""], ""selection_status"": ""selected""}]",A,,,
bcd29f5e987efa97,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,4,الأحزاب,"[{""label"": ""A"", ""lexical_identity"": ""حزب"", ""production_search_term"": ""حزب"", ""raw_lemmas"": [""حِزْب"", ""حِزْبٌ2""], ""selection_status"": ""selected""}]",A,,,
c4087bf4cce30f82,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,5,وباقي,"[{""label"": ""A"", ""lexical_identity"": ""باق"", ""production_search_term"": ""باق"", ""raw_lemmas"": [""بَاقٍ""], ""selection_status"": ""selected""}, {""label"": ""B"", ""lexical_identity"": ""باقي"", ""production_search_term"": ""باقي"", ""raw_lemmas"": [""باقِي""], ""selection_status"": ""selected""}]",A,,,
17b19e13b0d9b376,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,6,القراء,"[{""label"": ""A"", ""lexical_identity"": ""قارئ"", ""production_search_term"": ""قارئ"", ""raw_lemmas"": [""قارِئ"", ""قَارِئٌ""], ""selection_status"": ""selected""}]",A,,,
792273233ceb02b6,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,7,يقرءون,"[{""label"": ""A"", ""lexical_identity"": ""يقرءون"", ""production_search_term"": """", ""raw_lemmas"": [""يقرءون""], ""selection_status"": ""no_trusted_lemma""}, {""label"": ""B"", ""lexical_identity"": """", ""production_search_term"": """", ""raw_lemmas"": [], ""selection_status"": ""no_trusted_lemma""}]",ALL_WRONG,قَرَأَ,قرا,فعل مضارع من قَرَأَ، لا صيغة السطح
2658fb988c2a06c0,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,8,وقِرنَ,"[{""label"": ""A"", ""lexical_identity"": ""قرن"", ""production_search_term"": ""قرن"", ""raw_lemmas"": [""قَرْن"", ""قَرْنٌ""], ""selection_status"": ""selected""}]",ALL_WRONG,قَرَّ,قر,أمر لجمع المؤنث من قَرَّ
e203a8189bea7540,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,9,في,"[{""label"": ""A"", ""lexical_identity"": ""في"", ""production_search_term"": ""في"", ""raw_lemmas"": [""فِي"", ""فِي2""], ""selection_status"": ""selected""}]",A,,,
125729bf023eec20,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,10,بيوتكن,"[{""label"": ""A"", ""lexical_identity"": ""بيت"", ""production_search_term"": ""بيت"", ""raw_lemmas"": [""بَيْتٌ1""], ""selection_status"": ""selected""}, {""label"": ""B"", ""lexical_identity"": ""بيوت"", ""production_search_term"": ""بيوت"", ""raw_lemmas"": [""بَيُّوت""], ""selection_status"": ""selected""}]",A,,,
a01a7fb421cd4e5f,candidate-final-diagnostic-full-20260718:classical_quran_phrase:r1,عاصم وَقَرْنَ فِي بُيُوتِكُنَّ الأحزاب وباقي القراء يقرءون وقِرنَ في بيوتكن والواو هنا عاطفة وأصل الفعل من قَرّ إما من,11,والواو,"[{""label"": ""A"", ""lexical_identity"": ""واو"", ""production_search_term"": ""واو"", ""raw_lemmas"": [""واو"", ""وَاوٌ""], ""selection_status"": ""selected""}]",A,,,
